item,IATA_airport_code,located_in_the_administrative_territorial_entity,located_in_the_administrative_territorial_entityLabel,coordinate_location,official_website,ICAO_airport_code,end_time,country,countryLabel
http://www.wikidata.org/entity/Q175897,AES,http://www.wikidata.org/entity/Q494670,Giske,Point(6.119722222 62.5625),https://avinor.no/flyplass/alesund,ENAL,,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q176187,GAJ,http://www.wikidata.org/entity/Q129465,Tōhoku region,Point(140.371111111 38.411944444),https://www.yamagata-airport.co.jp/,RJSC,,http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q176187,GAJ,http://www.wikidata.org/entity/Q823927,Higashine,Point(140.371111111 38.411944444),https://www.yamagata-airport.co.jp/,RJSC,,http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q156971,BSL,http://www.wikidata.org/entity/Q384516,Saint-Louis,Point(7.529166666 47.59),http://www.euroairport.com/,LFSB,,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q156971,MLH,http://www.wikidata.org/entity/Q384516,Saint-Louis,Point(7.529166666 47.59),http://www.euroairport.com/,LFSB,,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q156971,BSL,http://www.wikidata.org/entity/Q384516,Saint-Louis,Point(7.529166666 47.59),http://www.euroairport.com/,LSZM,,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q156971,MLH,http://www.wikidata.org/entity/Q384516,Saint-Louis,Point(7.529166666 47.59),http://www.euroairport.com/,LSZM,,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q158211,HHN,http://www.wikidata.org/entity/Q8574,Rhein-Hunsrück-Kreis,Point(7.264166666 49.948333333),https://www.hahn-airport.de/en,EDFH,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q158211,HHN,http://www.wikidata.org/entity/Q8574,Rhein-Hunsrück-Kreis,Point(7.264166666 49.948333333),https://www.hahn-airport.de/de,EDFH,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q158732,STR,http://www.wikidata.org/entity/Q7032,Filderstadt,Point(9.221944444 48.69),http://www.flughafen-stuttgart.de/,EDDS,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q160094,HUI,http://www.wikidata.org/entity/Q1022242,North Central Coast,Point(107.702777777 16.401666666),https://www.vietnamairport.vn/phubaiairport/,VVPB,,http://www.wikidata.org/entity/Q881,Vietnam
http://www.wikidata.org/entity/Q165146,DLI,,,Point(108.373611 11.750556),http://lienkhuongairport.vn,VVDL,,http://www.wikidata.org/entity/Q881,Vietnam
http://www.wikidata.org/entity/Q170169,HAJ,http://www.wikidata.org/entity/Q4158,Langenhagen,Point(9.685 52.460833333),http://www.hannover-airport.de,EDDV,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q170343,VCA,http://www.wikidata.org/entity/Q216075,Cần Thơ,Point(105.711944444 10.085277777),http://www.canthoairport.com/,VVCT,,http://www.wikidata.org/entity/Q881,Vietnam
http://www.wikidata.org/entity/Q174194,,http://www.wikidata.org/entity/Q36074,Queensland,Point(153.008055555 -27.570277777),,YBAF,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q174764,RGN,http://www.wikidata.org/entity/Q856781,Yangon Region,Point(96.133055555 16.907222222),http://www.yangonairportonline.com,VYYY,,http://www.wikidata.org/entity/Q836,Myanmar
http://www.wikidata.org/entity/Q175028,SYR,http://www.wikidata.org/entity/Q1384,New York,Point(-76.106388888 43.111111111),http://www.flysyracuse.com/,KSYR,,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q175194,ANS,http://www.wikidata.org/entity/Q1798747,Andahuaylas Province,Point(-73.352777777 -13.712777777),,SPHY,,http://www.wikidata.org/entity/Q419,Peru
http://www.wikidata.org/entity/Q485688,,http://www.wikidata.org/entity/Q42147,Cheongju,Point(127.5 36.568055555),,RKTE,,http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q488355,HIN,http://www.wikidata.org/entity/Q42100,Sacheon,Point(128.070369444 35.088541666),http://www.airport.co.kr/doc/sacheon_eng/etc/sitemap.jsp,RKPS,,http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q488368,WOS,http://www.wikidata.org/entity/Q41416,Kangwon Province,Point(127.483666666 39.162638888),,ZKWS,,http://www.wikidata.org/entity/Q423,North Korea
http://www.wikidata.org/entity/Q489736,PUW,http://www.wikidata.org/entity/Q1223,Washington,Point(-117.109 46.7439),http://flypuw.com,KPUW,,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q490189,,http://www.wikidata.org/entity/Q2079455,Engure Municipality,Point(23.223333333 56.941666666),http://jurmalaairport.com//,EVJA,,http://www.wikidata.org/entity/Q211,Latvia
http://www.wikidata.org/entity/Q491213,MPK,http://www.wikidata.org/entity/Q42094,Mokpo,Point(126.379872222 34.758905555),,RKJM,,http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q491258,KUV,http://www.wikidata.org/entity/Q42074,Gunsan,Point(126.615666666 35.925961111),http://www.airport.co.kr/gunsaneng/index.do,RKJK,,http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q492694,TOJ,http://www.wikidata.org/entity/Q489839,Quelzaquetenago,Point(-3.445833333 40.496666666),http://www.aena-aeropuertos.es/csee/Satellite/Aeropuerto-Madrid-Torrejon/en,LETO,,http://www.wikidata.org/entity/Q29,Spain
http://www.wikidata.org/entity/Q17533,CRB,http://www.wikidata.org/entity/Q2982734,Collarenebri,Point(148.5677778 -29.515),,YCBR,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17534,OOM,http://www.wikidata.org/entity/Q1129726,Cooma,Point(148.973333333 -36.3),http://www.snowymountainsairport.com.au/,YCOM,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17535,COJ,http://www.wikidata.org/entity/Q820679,Warrumbungle Shire,Point(149.2677778 -31.331666666),,YCBB,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17535,COJ,http://www.wikidata.org/entity/Q1000123,Coonabarabran,Point(149.2677778 -31.331666666),,YCBB,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17536,CNB,http://www.wikidata.org/entity/Q752632,Coonamble Shire,Point(148.375 -30.983333333),,YCNM,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17536,CNB,http://www.wikidata.org/entity/Q1016277,Coonamble,Point(148.375 -30.983333333),,YCNM,,http://www.wikidata.org/entity/Q408,Australia
